candidate,accuracy,macro_f1,f1_drop,int4_count,int8_count,weight_memory_kb,memory_ratio,bitops_ratio,hardware_cost,accepted,config
1,0.9940039973351099,0.9821603074040051,-0.0011084510048035012,0,26,8.6796875,1.0,1.0,1.0,True,"{""stem_conv"": 8, ""block1_b1_sepconv"": 8, ""block1_b2_sepconv"": 8, ""block1_b3_sepconv"": 8, ""block1_pool_proj"": 8, ""block1_out_proj"": 8, ""block2_b1_sepconv"": 8, ""block2_b2_sepconv"": 8, ""block2_b3_sepconv"": 8, ""block2_pool_proj"": 8, ""block2_shortcut"": 8, ""block2_out_proj"": 8, ""block3_b1_sepconv"": 8, ""block3_b2_sepconv"": 8, ""block3_b3_sepconv"": 8, ""block3_pool_proj"": 8, ""block3_shortcut"": 8, ""block3_out_proj"": 8, ""block4_b1_sepconv"": 8, ""block4_b2_sepconv"": 8, ""block4_b3_sepconv"": 8, ""block4_pool_proj"": 8, ""block4_shortcut"": 8, ""block4_out_proj"": 8, ""head_dense"": 8, ""class_output"": 8}"
2,0.8767488341105929,0.7572106981699137,0.22384115822928785,14,12,6.59375,0.7596759675967597,0.7681976438200883,0.7639368057084239,False,"{""stem_conv"": 8, ""block1_b1_sepconv"": 8, ""block1_b2_sepconv"": 8, ""block1_b3_sepconv"": 8, ""block1_pool_proj"": 4, ""block1_out_proj"": 8, ""block2_b1_sepconv"": 4, ""block2_b2_sepconv"": 4, ""block2_b3_sepconv"": 4, ""block2_pool_proj"": 4, ""block2_shortcut"": 8, ""block2_out_proj"": 8, ""block3_b1_sepconv"": 4, ""block3_b2_sepconv"": 4, ""block3_b3_sepconv"": 8, ""block3_pool_proj"": 4, ""block3_shortcut"": 8, ""block3_out_proj"": 8, ""block4_b1_sepconv"": 4, ""block4_b2_sepconv"": 4, ""block4_b3_sepconv"": 8, ""block4_pool_proj"": 4, ""block4_shortcut"": 4, ""block4_out_proj"": 8, ""head_dense"": 4, ""class_output"": 4}"
3,0.994070619586942,0.98225840928624,-0.0012065528870384146,1,25,8.62109375,0.9932493249324933,0.9998481842840371,0.9965487546082652,True,"{""stem_conv"": 8, ""block1_b1_sepconv"": 8, ""block1_b2_sepconv"": 8, ""block1_b3_sepconv"": 8, ""block1_pool_proj"": 8, ""block1_out_proj"": 8, ""block2_b1_sepconv"": 8, ""block2_b2_sepconv"": 8, ""block2_b3_sepconv"": 8, ""block2_pool_proj"": 8, ""block2_shortcut"": 8, ""block2_out_proj"": 8, ""block3_b1_sepconv"": 8, ""block3_b2_sepconv"": 8, ""block3_b3_sepconv"": 8, ""block3_pool_proj"": 8, ""block3_shortcut"": 8, ""block3_out_proj"": 8, ""block4_b1_sepconv"": 8, ""block4_b2_sepconv"": 8, ""block4_b3_sepconv"": 8, ""block4_pool_proj"": 8, ""block4_shortcut"": 8, ""block4_out_proj"": 8, ""head_dense"": 8, ""class_output"": 4}"
4,0.9938707528314457,0.982131838961107,-0.001079982561905446,1,25,8.48046875,0.9770477047704771,0.9793530626290433,0.9782003836997601,True,"{""stem_conv"": 8, ""block1_b1_sepconv"": 8, ""block1_b2_sepconv"": 8, ""block1_b3_sepconv"": 8, ""block1_pool_proj"": 8, ""block1_out_proj"": 8, ""block2_b1_sepconv"": 8, ""block2_b2_sepconv"": 8, ""block2_b3_sepconv"": 8, ""block2_pool_proj"": 8, ""block2_shortcut"": 8, ""block2_out_proj"": 8, ""block3_b1_sepconv"": 8, ""block3_b2_sepconv"": 8, ""block3_b3_sepconv"": 8, ""block3_pool_proj"": 8, ""block3_shortcut"": 8, ""block3_out_proj"": 8, ""block4_b1_sepconv"": 4, ""block4_b2_sepconv"": 8, ""block4_b3_sepconv"": 8, ""block4_pool_proj"": 8, ""block4_shortcut"": 8, ""block4_out_proj"": 8, ""head_dense"": 8, ""class_output"": 8}"
5,0.9939373750832778,0.9818630045026205,-0.0008111481034189794,1,25,8.609375,0.991899189918992,0.98542569126756,0.988662440593276,True,"{""stem_conv"": 8, ""block1_b1_sepconv"": 8, ""block1_b2_sepconv"": 8, ""block1_b3_sepconv"": 8, ""block1_pool_proj"": 8, ""block1_out_proj"": 8, ""block2_b1_sepconv"": 8, ""block2_b2_sepconv"": 8, ""block2_b3_sepconv"": 8, ""block2_pool_proj"": 8, ""block2_shortcut"": 8, ""block2_out_proj"": 8, ""block3_b1_sepconv"": 8, ""block3_b2_sepconv"": 8, ""block3_b3_sepconv"": 8, ""block3_pool_proj"": 4, ""block3_shortcut"": 8, ""block3_out_proj"": 8, ""block4_b1_sepconv"": 8, ""block4_b2_sepconv"": 8, ""block4_b3_sepconv"": 8, ""block4_pool_proj"": 8, ""block4_shortcut"": 8, ""block4_out_proj"": 8, ""head_dense"": 8, ""class_output"": 8}"
6,0.9939373750832778,0.9817112732093098,-0.000659416810108282,1,25,8.591796875,0.9898739873987399,0.98178211408445,0.985828050741595,True,"{""stem_conv"": 8, ""block1_b1_sepconv"": 8, ""block1_b2_sepconv"": 8, ""block1_b3_sepconv"": 8, ""block1_pool_proj"": 8, ""block1_out_proj"": 8, ""block2_b1_sepconv"": 8, ""block2_b2_sepconv"": 8, ""block2_b3_sepconv"": 8, ""block2_pool_proj"": 8, ""block2_shortcut"": 8, ""block2_out_proj"": 8, ""block3_b1_sepconv"": 4, ""block3_b2_sepconv"": 8, ""block3_b3_sepconv"": 8, ""block3_pool_proj"": 8, ""block3_shortcut"": 8, ""block3_out_proj"": 8, ""block4_b1_sepconv"": 8, ""block4_b2_sepconv"": 8, ""block4_b3_sepconv"": 8, ""block4_pool_proj"": 8, ""block4_shortcut"": 8, ""block4_out_proj"": 8, ""head_dense"": 8, ""class_output"": 8}"
7,0.9853431045969354,0.960753878583142,0.020297977816059576,6,20,8.033203125,0.9255175517551755,0.9043054937047084,0.9149115227299419,False,"{""stem_conv"": 8, ""block1_b1_sepconv"": 8, ""block1_b2_sepconv"": 8, ""block1_b3_sepconv"": 8, ""block1_pool_proj"": 8, ""block1_out_proj"": 8, ""block2_b1_sepconv"": 4, ""block2_b2_sepconv"": 4, ""block2_b3_sepconv"": 8, ""block2_pool_proj"": 8, ""block2_shortcut"": 8, ""block2_out_proj"": 8, ""block3_b1_sepconv"": 8, ""block3_b2_sepconv"": 4, ""block3_b3_sepconv"": 8, ""block3_pool_proj"": 8, ""block3_shortcut"": 8, ""block3_out_proj"": 8, ""block4_b1_sepconv"": 8, ""block4_b2_sepconv"": 4, ""block4_b3_sepconv"": 8, ""block4_pool_proj"": 4, ""block4_shortcut"": 8, ""block4_out_proj"": 8, ""head_dense"": 8, ""class_output"": 4}"
8,0.9672884743504331,0.9251624562276618,0.05588940017153976,9,17,7.845703125,0.9039153915391539,0.852080887413465,0.8779981394763094,False,"{""stem_conv"": 8, ""block1_b1_sepconv"": 8, ""block1_b2_sepconv"": 8, ""block1_b3_sepconv"": 8, ""block1_pool_proj"": 8, ""block1_out_proj"": 8, ""block2_b1_sepconv"": 4, ""block2_b2_sepconv"": 4, ""block2_b3_sepconv"": 4, ""block2_pool_proj"": 4, ""block2_shortcut"": 8, ""block2_out_proj"": 8, ""block3_b1_sepconv"": 8, ""block3_b2_sepconv"": 4, ""block3_b3_sepconv"": 8, ""block3_pool_proj"": 4, ""block3_shortcut"": 8, ""block3_out_proj"": 8, ""block4_b1_sepconv"": 4, ""block4_b2_sepconv"": 4, ""block4_b3_sepconv"": 8, ""block4_pool_proj"": 8, ""block4_shortcut"": 8, ""block4_out_proj"": 8, ""head_dense"": 8, ""class_output"": 4}"
9,0.9816122584943371,0.9510558597298429,0.029995996669358704,6,20,7.869140625,0.9066156615661566,0.8862394235051213,0.8964275425356389,False,"{""stem_conv"": 8, ""block1_b1_sepconv"": 8, ""block1_b2_sepconv"": 8, ""block1_b3_sepconv"": 8, ""block1_pool_proj"": 8, ""block1_out_proj"": 8, ""block2_b1_sepconv"": 8, ""block2_b2_sepconv"": 4, ""block2_b3_sepconv"": 8, ""block2_pool_proj"": 8, ""block2_shortcut"": 8, ""block2_out_proj"": 8, ""block3_b1_sepconv"": 4, ""block3_b2_sepconv"": 8, ""block3_b3_sepconv"": 8, ""block3_pool_proj"": 4, ""block3_shortcut"": 8, ""block3_out_proj"": 8, ""block4_b1_sepconv"": 4, ""block4_b2_sepconv"": 4, ""block4_b3_sepconv"": 8, ""block4_pool_proj"": 4, ""block4_shortcut"": 8, ""block4_out_proj"": 8, ""head_dense"": 8, ""class_output"": 8}"
10,0.9899400399733511,0.9689408946007676,0.012110961798433961,7,19,7.52734375,0.8672367236723673,0.914750414962957,0.890993569317662,False,"{""stem_conv"": 8, ""block1_b1_sepconv"": 8, ""block1_b2_sepconv"": 8, ""block1_b3_sepconv"": 8, ""block1_pool_proj"": 4, ""block1_out_proj"": 8, ""block2_b1_sepconv"": 8, ""block2_b2_sepconv"": 8, ""block2_b3_sepconv"": 8, ""block2_pool_proj"": 8, ""block2_shortcut"": 8, ""block2_out_proj"": 8, ""block3_b1_sepconv"": 4, ""block3_b2_sepconv"": 4, ""block3_b3_sepconv"": 8, ""block3_pool_proj"": 4, ""block3_shortcut"": 8, ""block3_out_proj"": 8, ""block4_b1_sepconv"": 8, ""block4_b2_sepconv"": 8, ""block4_b3_sepconv"": 8, ""block4_pool_proj"": 4, ""block4_shortcut"": 8, ""block4_out_proj"": 8, ""head_dense"": 4, ""class_output"": 4}"
