layer,accuracy,macro_f1,f1_drop_vs_int8,f1_drop_vs_fp32,weight_memory_kb,memory_ratio,bitops_ratio,sensitive
stem_conv,0.9578947368421052,0.879433638129945,0.10272666927406005,0.10161821826925654,8.65234375,0.9968496849684968,0.9773288530828711,True
block1_out_proj,0.975616255829447,0.9382457596859755,0.043914547718029606,0.042806096713226105,8.6171875,0.9927992799279928,0.9481802356179911,True
block2_shortcut,0.9901399067288474,0.9696002541019331,0.012560053302071994,0.011451602297268493,8.6328125,0.9945994599459946,0.9805675883567467,True
block4_out_proj,0.9914723517654896,0.973387977578059,0.008772329825946112,0.007663878821142611,7.9140625,0.9117911791179117,0.920650985790049,True
block2_out_proj,0.991072618254497,0.9747803542293093,0.0073799531746957525,0.006271502169892251,8.5390625,0.9837983798379838,0.9417027650702401,True
block1_b3_sepconv,0.9919387075283145,0.9755417695767864,0.006618537827218662,0.005510086822415161,8.63671875,0.995049504950495,0.9643739119873689,True
block1_b2_sepconv,0.9923384410393071,0.9755520517455356,0.006608255658469453,0.005499804653665952,8.64453125,0.995949594959496,0.97085138253512,True
block3_out_proj,0.9921385742838108,0.9763559199383354,0.0058043874656696914,0.00469593646086619,8.1171875,0.9351935193519352,0.8834055301404802,True
block1_b1_sepconv,0.9921385742838108,0.9766900562281577,0.005470251175847318,0.004361800171043817,8.65234375,0.9968496849684968,0.9773288530828711,True
block3_b3_sepconv,0.9922718187874751,0.9768286051668469,0.005331702237158176,0.0042232512323546745,8.556640625,0.9858235823582359,0.9744949597182301,True
block3_shortcut,0.9922718187874751,0.976835319744111,0.005324987659894087,0.004216536655090586,8.5390625,0.9837983798379838,0.97085138253512,True
block4_b3_sepconv,0.9926049300466355,0.9769105859628098,0.0052497214411952875,0.004141270436391786,8.41015625,0.9689468946894689,0.9720659082628234,True
block4_shortcut,0.9926715522984677,0.9791371799290068,0.0030231274749982218,0.0019146764701947205,8.3515625,0.9621962196219622,0.9659932796243067,False
block2_b3_sepconv,0.9929380413057961,0.9791761864873647,0.0029841209166403537,0.0018756699118368525,8.62109375,0.9932493249324933,0.9757094854459334,False
head_dense,0.9927381745502998,0.9792276774987887,0.0029326299052163662,0.001824178900412865,8.0234375,0.9243924392439244,0.9982996639812154,False
block2_b1_sepconv,0.9931379080612924,0.9796460653763717,0.0025142420276333954,0.0014057910228298942,8.64453125,0.995949594959496,0.98542569126756,False
block4_pool_proj,0.9936708860759493,0.9800886775909392,0.002071629813065856,0.0009631788082623549,8.515625,0.9810981098109811,0.9829966398121533,False
block1_pool_proj,0.9936708860759493,0.9802992734021633,0.0018610340018417881,0.0007525829970382869,8.6640625,0.9981998199819982,0.9870450589044978,False
block3_b2_sepconv,0.9934043970686209,0.9803473004062541,0.0018130069977509988,0.0007045559929474976,8.580078125,0.9885238523852385,0.9793530626290433,False
block2_b2_sepconv,0.9929380413057961,0.9805130520519191,0.0016472553520859856,0.0005388043472824844,8.63671875,0.995049504950495,0.9821869559936844,False
block2_pool_proj,0.9936042638241173,0.9805844624551778,0.001575844948827232,0.0004673939440237307,8.65625,0.9972997299729973,0.9902837941783733,False
block4_b2_sepconv,0.9939373750832778,0.9815705059547808,0.0005898014492242698,-0.0005186495555792314,8.43359375,0.9716471647164716,0.9744949597182301,False
block3_b1_sepconv,0.9939373750832778,0.9817112732093098,0.0004490341946952192,-0.000659416810108282,8.591796875,0.9898739873987399,0.98178211408445,False
block3_pool_proj,0.9939373750832778,0.9818630045026205,0.00029730290138452187,-0.0008111481034189794,8.609375,0.991899189918992,0.98542569126756,False
block4_b1_sepconv,0.9938707528314457,0.982131838961107,2.846844289805528e-05,-0.001079982561905446,8.48046875,0.9770477047704771,0.9793530626290433,False
class_output,0.994070619586942,0.98225840928624,-9.810188223491334e-05,-0.0012065528870384146,8.62109375,0.9932493249324933,0.9998481842840371,False
